,question,answer,image_path
155,does the image contain a triangle?,no,./data/train/images/15.png
156,is no triangle present?,yes,./data/train/images/15.png
157,is a gray shape present?,no,./data/train/images/15.png
158,does the image contain a red shape?,no,./data/train/images/15.png
159,does the image contain a green shape?,yes,./data/train/images/15.png
160,is there not a blue shape?,yes,./data/train/images/15.png
161,is no yellow shape present?,yes,./data/train/images/15.png
162,is there not a teal shape in the image?,yes,./data/train/images/15.png
163,what shape is present?,circle,./data/train/images/16.png
164,what shape does the image contain?,circle,./data/train/images/16.png
165,what color is the circle?,blue,./data/train/images/16.png
166,is there a triangle?,no,./data/train/images/16.png
167,is a triangle present?,no,./data/train/images/16.png
168,is there a black shape?,no,./data/train/images/16.png
169,is there a gray shape?,no,./data/train/images/16.png
170,is a blue shape present?,yes,./data/train/images/16.png
171,is there not a teal shape in the image?,yes,./data/train/images/16.png
172,is no brown shape present?,yes,./data/train/images/16.png
173,what shape does the image contain?,triangle,./data/train/images/17.png
174,what is the color of the triangle?,black,./data/train/images/17.png
175,is there a triangle?,yes,./data/train/images/17.png
176,does the image not contain a triangle?,no,./data/train/images/17.png
177,is a black shape present?,yes,./data/train/images/17.png
178,is there a red shape?,no,./data/train/images/17.png
179,is there a green shape?,no,./data/train/images/17.png
180,is there a blue shape in the image?,no,./data/train/images/17.png
181,is there a yellow shape?,no,./data/train/images/17.png
182,does the image not contain a teal shape?,yes,./data/train/images/17.png
183,what is the color of the triangle?,blue,./data/train/images/18.png
184,is no rectangle present?,yes,./data/train/images/18.png
185,is there not a circle in the image?,yes,./data/train/images/18.png
186,is no circle present?,yes,./data/train/images/18.png
187,does the image contain a triangle?,yes,./data/train/images/18.png
188,is no triangle present?,no,./data/train/images/18.png
189,is there a red shape in the image?,no,./data/train/images/18.png
190,is a red shape present?,no,./data/train/images/18.png
191,is there a yellow shape in the image?,no,./data/train/images/18.png
192,is there not a teal shape in the image?,yes,./data/train/images/18.png
193,what shape is present?,triangle,./data/train/images/19.png
194,what is the gray shape?,triangle,./data/train/images/19.png
195,what is the color of the shape?,gray,./data/train/images/19.png
196,is there not a rectangle?,yes,./data/train/images/19.png
197,is no triangle present?,no,./data/train/images/19.png
198,is there a black shape?,no,./data/train/images/19.png
199,is there a green shape in the image?,no,./data/train/images/19.png
200,is there not a blue shape in the image?,yes,./data/train/images/19.png
201,does the image not contain a teal shape?,yes,./data/train/images/19.png
202,is there a brown shape in the image?,no,./data/train/images/19.png
203,is no brown shape present?,yes,./data/train/images/19.png
204,what shape is in the image?,rectangle,./data/train/images/20.png
205,what shape is present?,rectangle,./data/train/images/20.png
206,what color is the shape?,black,./data/train/images/20.png
207,what is the color of the shape?,black,./data/train/images/20.png
208,is there a rectangle in the image?,yes,./data/train/images/20.png
209,does the image not contain a circle?,yes,./data/train/images/20.png
210,is there not a triangle in the image?,yes,./data/train/images/20.png
211,is a gray shape present?,no,./data/train/images/20.png
212,is no red shape present?,yes,./data/train/images/20.png
213,what shape is present?,rectangle,./data/train/images/21.png
214,what shape does the image contain?,rectangle,./data/train/images/21.png
215,what is the yellow shape?,rectangle,./data/train/images/21.png
216,what color is the rectangle?,yellow,./data/train/images/21.png
217,what is the color of the shape?,yellow,./data/train/images/21.png
218,is there not a circle?,yes,./data/train/images/21.png
219,is no circle present?,yes,./data/train/images/21.png
220,does the image not contain a gray shape?,yes,./data/train/images/21.png
221,does the image not contain a red shape?,yes,./data/train/images/21.png
222,is no red shape present?,yes,./data/train/images/21.png
223,does the image contain a green shape?,no,./data/train/images/21.png
224,is there a brown shape?,no,./data/train/images/21.png
225,what shape is present?,triangle,./data/train/images/22.png
226,what shape does the image contain?,triangle,./data/train/images/22.png
227,what is the teal shape?,triangle,./data/train/images/22.png
228,what color is the triangle?,teal,./data/train/images/22.png
229,what is the color of the triangle?,teal,./data/train/images/22.png
230,what color is the shape?,teal,./data/train/images/22.png
231,what is the color of the shape?,teal,./data/train/images/22.png
232,is there a rectangle in the image?,no,./data/train/images/22.png
233,is there a triangle in the image?,yes,./data/train/images/22.png
234,is there not a triangle?,no,./data/train/images/22.png
235,is there a red shape?,no,./data/train/images/22.png
236,is no red shape present?,yes,./data/train/images/22.png
237,does the image not contain a green shape?,yes,./data/train/images/22.png
238,is a brown shape present?,no,./data/train/images/22.png
239,is there not a brown shape in the image?,yes,./data/train/images/22.png
240,what is the red shape?,circle,./data/train/images/23.png
241,what is the color of the shape?,red,./data/train/images/23.png
242,does the image not contain a gray shape?,yes,./data/train/images/23.png
243,is no gray shape present?,yes,./data/train/images/23.png
244,is a blue shape present?,no,./data/train/images/23.png
245,does the image not contain a blue shape?,yes,./data/train/images/23.png
246,does the image contain a yellow shape?,no,./data/train/images/23.png
247,does the image not contain a brown shape?,yes,./data/train/images/23.png
248,what shape is in the image?,rectangle,./data/train/images/24.png
249,what shape is present?,rectangle,./data/train/images/24.png
250,what is the green shape?,rectangle,./data/train/images/24.png
251,what is the color of the rectangle?,green,./data/train/images/24.png
252,what is the color of the shape?,green,./data/train/images/24.png
253,is there not a red shape?,yes,./data/train/images/24.png
254,is there a green shape in the image?,yes,./data/train/images/24.png
255,does the image contain a blue shape?,no,./data/train/images/24.png
256,does the image not contain a yellow shape?,yes,./data/train/images/24.png
257,what shape is present?,triangle,./data/train/images/25.png
258,what is the teal shape?,triangle,./data/train/images/25.png
259,what is the color of the triangle?,teal,./data/train/images/25.png
260,does the image not contain a rectangle?,yes,./data/train/images/25.png
261,is there a circle in the image?,no,./data/train/images/25.png
262,is a circle present?,no,./data/train/images/25.png
263,is there a triangle in the image?,yes,./data/train/images/25.png
264,does the image contain a gray shape?,no,./data/train/images/25.png
265,is a gray shape present?,no,./data/train/images/25.png
266,is a yellow shape present?,no,./data/train/images/25.png
267,is there a teal shape?,yes,./data/train/images/25.png
268,is there a brown shape in the image?,no,./data/train/images/25.png
269,what shape is in the image?,triangle,./data/train/images/26.png
270,what is the color of the shape?,red,./data/train/images/26.png
271,is there a rectangle in the image?,no,./data/train/images/26.png
272,is there not a circle in the image?,yes,./data/train/images/26.png
273,is no circle present?,yes,./data/train/images/26.png
274,does the image not contain a black shape?,yes,./data/train/images/26.png
275,is there a red shape?,yes,./data/train/images/26.png
276,does the image contain a green shape?,no,./data/train/images/26.png
277,is no green shape present?,yes,./data/train/images/26.png
278,is there a blue shape?,no,./data/train/images/26.png
279,is a blue shape present?,no,./data/train/images/26.png
280,is there a yellow shape?,no,./data/train/images/26.png
281,what shape is in the image?,rectangle,./data/train/images/27.png
282,what shape is present?,rectangle,./data/train/images/27.png
283,what is the yellow shape?,rectangle,./data/train/images/27.png
284,what color is the rectangle?,yellow,./data/train/images/27.png
285,what is the color of the shape?,yellow,./data/train/images/27.png
286,is there a rectangle?,yes,./data/train/images/27.png
287,is a triangle present?,no,./data/train/images/27.png
288,does the image not contain a black shape?,yes,./data/train/images/27.png
289,is a yellow shape present?,yes,./data/train/images/27.png
290,is there a brown shape in the image?,no,./data/train/images/27.png
291,is there not a brown shape in the image?,yes,./data/train/images/27.png
292,what is the green shape?,rectangle,./data/train/images/28.png
293,is no triangle present?,yes,./data/train/images/28.png
294,does the image contain a black shape?,no,./data/train/images/28.png
295,is there not a red shape in the image?,yes,./data/train/images/28.png
296,is a yellow shape present?,no,./data/train/images/28.png
297,does the image not contain a teal shape?,yes,./data/train/images/28.png
298,what color is the triangle?,red,./data/train/images/29.png
299,is there a gray shape in the image?,no,./data/train/images/29.png
300,is no gray shape present?,yes,./data/train/images/29.png
301,does the image contain a red shape?,yes,./data/train/images/29.png
302,is there a blue shape?,no,./data/train/images/29.png
303,does the image not contain a blue shape?,yes,./data/train/images/29.png
304,is a yellow shape present?,no,./data/train/images/29.png
305,does the image not contain a yellow shape?,yes,./data/train/images/29.png
306,is there a teal shape in the image?,no,./data/train/images/29.png
307,what shape does the image contain?,triangle,./data/train/images/30.png
308,what is the color of the triangle?,teal,./data/train/images/30.png
309,is there a rectangle in the image?,no,./data/train/images/30.png
310,is a circle present?,no,./data/train/images/30.png
311,is no triangle present?,no,./data/train/images/30.png
312,is there a black shape?,no,./data/train/images/30.png
313,is there a green shape?,no,./data/train/images/30.png
314,is there a yellow shape?,no,./data/train/images/30.png
315,is there a brown shape?,no,./data/train/images/30.png
316,what shape does the image contain?,triangle,./data/train/images/31.png
317,what color is the shape?,green,./data/train/images/31.png
318,what is the color of the shape?,green,./data/train/images/31.png
319,does the image not contain a rectangle?,yes,./data/train/images/31.png
320,is a circle present?,no,./data/train/images/31.png
321,is there not a circle in the image?,yes,./data/train/images/31.png
322,is there a triangle in the image?,yes,./data/train/images/31.png
323,does the image contain a black shape?,no,./data/train/images/31.png
324,is there not a black shape?,yes,./data/train/images/31.png
325,is no gray shape present?,yes,./data/train/images/31.png
326,is there a green shape in the image?,yes,./data/train/images/31.png
327,is there a blue shape in the image?,no,./data/train/images/31.png
328,is there a yellow shape?,no,./data/train/images/31.png
329,is there a yellow shape in the image?,no,./data/train/images/31.png
330,does the image not contain a teal shape?,yes,./data/train/images/31.png
331,is there not a brown shape in the image?,yes,./data/train/images/31.png
332,is no brown shape present?,yes,./data/train/images/31.png
333,what shape is in the image?,rectangle,./data/train/images/32.png
334,what shape is present?,rectangle,./data/train/images/32.png
335,what is the yellow shape?,rectangle,./data/train/images/32.png
336,is there not a rectangle?,no,./data/train/images/32.png
337,is there not a rectangle in the image?,no,./data/train/images/32.png
338,does the image contain a circle?,no,./data/train/images/32.png
339,is there not a black shape?,yes,./data/train/images/32.png
340,is there not a gray shape in the image?,yes,./data/train/images/32.png
341,is there not a yellow shape in the image?,no,./data/train/images/32.png
342,is there a teal shape in the image?,no,./data/train/images/32.png
343,does the image contain a teal shape?,no,./data/train/images/32.png
344,what shape does the image contain?,rectangle,./data/train/images/33.png
345,what color is the rectangle?,black,./data/train/images/33.png
346,is no circle present?,yes,./data/train/images/33.png
347,is there not a red shape in the image?,yes,./data/train/images/33.png
348,does the image not contain a yellow shape?,yes,./data/train/images/33.png
349,is no yellow shape present?,yes,./data/train/images/33.png
350,is a teal shape present?,no,./data/train/images/33.png
351,what shape is in the image?,circle,./data/train/images/34.png
352,what shape is present?,circle,./data/train/images/34.png
353,what shape does the image contain?,circle,./data/train/images/34.png
354,what is the color of the circle?,brown,./data/train/images/34.png
355,does the image not contain a gray shape?,yes,./data/train/images/34.png
356,is no green shape present?,yes,./data/train/images/34.png
357,does the image not contain a blue shape?,yes,./data/train/images/34.png
358,is there a teal shape?,no,./data/train/images/34.png
359,does the image contain a teal shape?,no,./data/train/images/34.png
360,is there not a teal shape?,yes,./data/train/images/34.png
361,is a brown shape present?,yes,./data/train/images/34.png
362,what shape is present?,triangle,./data/train/images/35.png
363,is there a rectangle in the image?,no,./data/train/images/35.png
364,does the image not contain a rectangle?,yes,./data/train/images/35.png
365,is no rectangle present?,yes,./data/train/images/35.png
366,is there a black shape?,no,./data/train/images/35.png
367,is there not a black shape in the image?,yes,./data/train/images/35.png
368,is there not a gray shape?,yes,./data/train/images/35.png
369,is there not a green shape in the image?,yes,./data/train/images/35.png
370,does the image contain a blue shape?,no,./data/train/images/35.png
371,does the image not contain a blue shape?,yes,./data/train/images/35.png
372,does the image contain a teal shape?,yes,./data/train/images/35.png
373,what shape is present?,triangle,./data/train/images/36.png
374,what color is the triangle?,gray,./data/train/images/36.png
375,what color is the shape?,gray,./data/train/images/36.png
376,does the image contain a circle?,no,./data/train/images/36.png
377,does the image contain a gray shape?,yes,./data/train/images/36.png
378,is there a red shape in the image?,no,./data/train/images/36.png
379,is there a yellow shape?,no,./data/train/images/36.png
380,what shape is in the image?,rectangle,./data/train/images/37.png
381,what color is the rectangle?,green,./data/train/images/37.png
382,does the image not contain a circle?,yes,./data/train/images/37.png
383,is no circle present?,yes,./data/train/images/37.png
384,is there a triangle in the image?,no,./data/train/images/37.png
385,is a triangle present?,no,./data/train/images/37.png
386,is there a gray shape?,no,./data/train/images/37.png
387,is no green shape present?,no,./data/train/images/37.png
388,is there a blue shape?,no,./data/train/images/37.png
389,is there not a blue shape in the image?,yes,./data/train/images/37.png
390,is no yellow shape present?,yes,./data/train/images/37.png
391,is there not a brown shape in the image?,yes,./data/train/images/37.png
392,does the image not contain a brown shape?,yes,./data/train/images/37.png
393,what is the black shape?,circle,./data/train/images/38.png
394,what color is the shape?,black,./data/train/images/38.png
395,does the image contain a rectangle?,no,./data/train/images/38.png
396,is a rectangle present?,no,./data/train/images/38.png
397,is there not a circle?,no,./data/train/images/38.png
398,is there a black shape in the image?,yes,./data/train/images/38.png
399,does the image not contain a blue shape?,yes,./data/train/images/38.png
400,is there a teal shape in the image?,no,./data/train/images/38.png
401,is there a brown shape in the image?,no,./data/train/images/38.png
402,what shape is present?,rectangle,./data/train/images/39.png
403,does the image contain a rectangle?,yes,./data/train/images/39.png
404,is a black shape present?,no,./data/train/images/39.png
405,does the image contain a gray shape?,no,./data/train/images/39.png
406,does the image contain a teal shape?,yes,./data/train/images/39.png
407,is there not a brown shape?,yes,./data/train/images/39.png
408,what shape is present?,triangle,./data/train/images/40.png
409,what shape does the image contain?,triangle,./data/train/images/40.png
410,what color is the triangle?,black,./data/train/images/40.png
411,is there a rectangle in the image?,no,./data/train/images/40.png
412,is there a circle in the image?,no,./data/train/images/40.png
413,is there not a circle in the image?,yes,./data/train/images/40.png
414,is there a red shape?,no,./data/train/images/40.png
415,is there a green shape?,no,./data/train/images/40.png
416,is a green shape present?,no,./data/train/images/40.png
417,does the image contain a brown shape?,no,./data/train/images/40.png
418,what is the teal shape?,triangle,./data/train/images/41.png
419,is there a circle?,no,./data/train/images/41.png
420,does the image contain a triangle?,yes,./data/train/images/41.png
421,is there not a triangle?,no,./data/train/images/41.png
422,is there a red shape?,no,./data/train/images/41.png
423,is there not a blue shape?,yes,./data/train/images/41.png
424,what shape is in the image?,circle,./data/train/images/42.png
425,what shape does the image contain?,circle,./data/train/images/42.png
426,what color is the shape?,black,./data/train/images/42.png
427,is there not a circle in the image?,no,./data/train/images/42.png
428,is there a triangle?,no,./data/train/images/42.png
429,is there a triangle in the image?,no,./data/train/images/42.png
430,is there not a triangle in the image?,yes,./data/train/images/42.png
431,does the image contain a black shape?,yes,./data/train/images/42.png
432,is there not a black shape?,no,./data/train/images/42.png
433,is there not a gray shape in the image?,yes,./data/train/images/42.png
434,is there not a green shape?,yes,./data/train/images/42.png
435,is there a blue shape?,no,./data/train/images/42.png
436,is there a teal shape?,no,./data/train/images/42.png
437,what color is the triangle?,gray,./data/train/images/43.png
438,is there a rectangle?,no,./data/train/images/43.png
439,does the image contain a circle?,no,./data/train/images/43.png
440,does the image not contain a circle?,yes,./data/train/images/43.png
441,is there a green shape in the image?,no,./data/train/images/43.png
442,does the image contain a green shape?,no,./data/train/images/43.png
443,is there not a yellow shape in the image?,yes,./data/train/images/43.png
444,does the image not contain a teal shape?,yes,./data/train/images/43.png
445,what shape is in the image?,circle,./data/train/images/44.png
446,what shape is present?,circle,./data/train/images/44.png
447,what shape does the image contain?,circle,./data/train/images/44.png
448,what is the black shape?,circle,./data/train/images/44.png
449,what color is the shape?,black,./data/train/images/44.png
450,what is the color of the shape?,black,./data/train/images/44.png
451,does the image contain a rectangle?,no,./data/train/images/44.png
452,does the image not contain a rectangle?,yes,./data/train/images/44.png
453,is there a triangle?,no,./data/train/images/44.png
454,is there not a black shape in the image?,no,./data/train/images/44.png
455,does the image contain a red shape?,no,./data/train/images/44.png
456,is a red shape present?,no,./data/train/images/44.png
457,does the image contain a green shape?,no,./data/train/images/44.png
458,is no blue shape present?,yes,./data/train/images/44.png
459,is there not a brown shape?,yes,./data/train/images/44.png
460,what shape is in the image?,circle,./data/train/images/45.png
461,what is the brown shape?,circle,./data/train/images/45.png
462,what color is the circle?,brown,./data/train/images/45.png
463,what color is the shape?,brown,./data/train/images/45.png
464,is there a rectangle?,no,./data/train/images/45.png
465,does the image contain a blue shape?,no,./data/train/images/45.png
466,is there a teal shape?,no,./data/train/images/45.png
467,is no teal shape present?,yes,./data/train/images/45.png
468,is there a brown shape in the image?,yes,./data/train/images/45.png
469,what shape is present?,rectangle,./data/train/images/46.png
470,what is the yellow shape?,rectangle,./data/train/images/46.png
471,is no rectangle present?,no,./data/train/images/46.png
472,is there a circle?,no,./data/train/images/46.png
473,does the image not contain a triangle?,yes,./data/train/images/46.png
474,is there not a gray shape in the image?,yes,./data/train/images/46.png
475,is there not a red shape in the image?,yes,./data/train/images/46.png
476,is no teal shape present?,yes,./data/train/images/46.png
477,is there not a brown shape in the image?,yes,./data/train/images/46.png
478,is no brown shape present?,yes,./data/train/images/46.png
479,what shape is present?,circle,./data/train/images/47.png
480,what is the color of the shape?,brown,./data/train/images/47.png
481,is there a circle in the image?,yes,./data/train/images/47.png
482,is there a triangle in the image?,no,./data/train/images/47.png
483,does the image not contain a black shape?,yes,./data/train/images/47.png
484,is no gray shape present?,yes,./data/train/images/47.png
485,does the image not contain a green shape?,yes,./data/train/images/47.png
486,does the image contain a blue shape?,no,./data/train/images/47.png
487,is a brown shape present?,yes,./data/train/images/47.png
488,what shape is in the image?,rectangle,./data/train/images/48.png
489,what is the color of the shape?,yellow,./data/train/images/48.png
490,does the image not contain a triangle?,yes,./data/train/images/48.png
491,is there a black shape in the image?,no,./data/train/images/48.png
492,is there not a gray shape in the image?,yes,./data/train/images/48.png
493,is there not a blue shape in the image?,yes,./data/train/images/48.png
494,is no blue shape present?,yes,./data/train/images/48.png
495,is no teal shape present?,yes,./data/train/images/48.png
496,does the image contain a brown shape?,no,./data/train/images/48.png
497,is a brown shape present?,no,./data/train/images/48.png
498,is a rectangle present?,no,./data/train/images/49.png
499,is no circle present?,no,./data/train/images/49.png
500,is no gray shape present?,yes,./data/train/images/49.png
501,is there a green shape?,no,./data/train/images/49.png
502,is there a yellow shape?,no,./data/train/images/49.png
503,does the image contain a yellow shape?,no,./data/train/images/49.png
504,does the image not contain a yellow shape?,yes,./data/train/images/49.png
505,is no yellow shape present?,yes,./data/train/images/49.png
506,what shape is present?,rectangle,./data/train/images/50.png
507,what is the yellow shape?,rectangle,./data/train/images/50.png
508,what is the color of the rectangle?,yellow,./data/train/images/50.png
509,is no triangle present?,yes,./data/train/images/50.png
510,is there not a blue shape?,yes,./data/train/images/50.png
511,is there not a yellow shape in the image?,no,./data/train/images/50.png
512,is no yellow shape present?,no,./data/train/images/50.png
513,is a teal shape present?,no,./data/train/images/50.png
514,what shape does the image contain?,rectangle,./data/train/images/51.png
515,what is the color of the rectangle?,gray,./data/train/images/51.png
516,is there not a black shape?,yes,./data/train/images/51.png
517,is there not a gray shape in the image?,no,./data/train/images/51.png
518,is a blue shape present?,no,./data/train/images/51.png
519,what shape does the image contain?,triangle,./data/train/images/52.png
520,what color is the triangle?,teal,./data/train/images/52.png
521,what is the color of the shape?,teal,./data/train/images/52.png
522,is a rectangle present?,no,./data/train/images/52.png
523,is there a triangle in the image?,yes,./data/train/images/52.png
524,is a triangle present?,yes,./data/train/images/52.png
525,is there not a triangle in the image?,no,./data/train/images/52.png
526,is a red shape present?,no,./data/train/images/52.png
527,is there a green shape in the image?,no,./data/train/images/52.png
528,is there a yellow shape?,no,./data/train/images/52.png
529,is there not a teal shape?,no,./data/train/images/52.png
530,is a brown shape present?,no,./data/train/images/52.png
531,is there not a brown shape in the image?,yes,./data/train/images/52.png
532,does the image not contain a brown shape?,yes,./data/train/images/52.png
533,what shape is present?,triangle,./data/train/images/53.png
534,what is the gray shape?,triangle,./data/train/images/53.png
535,does the image contain a circle?,no,./data/train/images/53.png
536,is there a black shape?,no,./data/train/images/53.png
537,does the image contain a gray shape?,yes,./data/train/images/53.png
538,is no red shape present?,yes,./data/train/images/53.png
539,does the image not contain a blue shape?,yes,./data/train/images/53.png
